	Strain	Plasmid	BioSample	Organism
NZ_CP093937.1	WA121-2021_16354	p2021-16354-2	SAMN26754981	Staphylococcus aureus
NZ_CP094444.1	N10CSA27	pN10CSA27	SAMN26665714	Staphylococcus aureus
NZ_CP094664.1	494	unnamed	SAMN27101937	Staphylococcus aureus
NZ_CP094854.1	NY2010	pNY2010	SAMN27065448	Staphylococcus aureus
NZ_CP094856.1	NY2491	pNY2491	SAMN27065489	Staphylococcus aureus
NZ_CP094858.1	ATCC	pATCC29213	SAMN27067580	Staphylococcus aureus
NZ_CP098254.1	M0	unnamed	SAMN28592284	Staphylococcus aureus
NZ_CP098256.1	N4	unnamed	SAMN28592286	Staphylococcus aureus
NZ_CP098258.1	M4	unnamed	SAMN28592285	Staphylococcus aureus
NZ_CP098728.1	SauR3	pSauR3-1	SAMN21591357	Staphylococcus aureus
NZ_CP098729.1	SauR3	pSauR3-2	SAMN21591357	Staphylococcus aureus
NZ_CP098730.1	SauR3	pSauR3-3	SAMN21591357	Staphylococcus aureus
NZ_CP099496.1	JL28	pJL28	SAMN15964463	Staphylococcus aureus
NZ_CP099498.1	0213-M-4A	p0213M4A	SAMN15963967	Staphylococcus aureus
NZ_CP099500.1	0610-H-2A	p0610H2A1	SAMN15964195	Staphylococcus aureus
NZ_CP099501.1	0610-H-2A	p0610H2A2	SAMN15964195	Staphylococcus aureus
NZ_CP099503.1	JL42	pJL42	SAMN15964476	Staphylococcus aureus
NZ_CP099505.1	S36	pS36	SAMN15964555	Staphylococcus aureus
NZ_CP099507.1	0316-H-5A	p0316H5A	SAMN15963988	Staphylococcus aureus
NZ_CP099509.1	S82	pS82_1	SAMN15964597	Staphylococcus aureus
NZ_CP099510.1	S82	pS82_2	SAMN15964597	Staphylococcus aureus
NZ_CP099577.1	MRSA1369	unnamed1	SAMN29251701	Staphylococcus aureus
NZ_CP099578.1	MRSA1369	unnamed2	SAMN29251701	Staphylococcus aureus
NZ_CP103849.1	NRL	pE48	SAMN30496472	Staphylococcus aureus
NZ_CP030153.1	JSMCR1	pJSMCR1_1	SAMN09428214	Escherichia coli
NZ_CP030154.1	JSMCR1	pJSMCR1_2	SAMN09428214	Escherichia coli
NZ_CP030155.1	JSMCR1	pJSMCR1_3	SAMN09428214	Escherichia coli
NZ_CP030156.1	JSMCR1	pJSMCR1_4	SAMN09428214	Escherichia coli
NZ_CP030157.1	JSMCR1	pJSMCR1_5	SAMN09428214	Escherichia coli
NZ_CP073925.1	MB165	pYLMB165	SAMN18877320	Escherichia coli
NZ_CP073927.1	MB98	pYLMB98a	SAMN18877319	Escherichia coli
NZ_CP073928.1	MB98	pYLMB98b	SAMN18877319	Escherichia coli
NZ_CP073930.1	MB64	pYLMB64a	SAMN18877318	Escherichia coli
NZ_CP073931.1	MB64	pYLMB64b	SAMN18877318	Escherichia coli
NZ_CP073933.1	MB57	pYLMB57a	SAMN18877317	Escherichia coli
NZ_CP073934.1	MB57	pYLMB57b	SAMN18877317	Escherichia coli
NZ_CP073935.1	MB57	pYLMB57c	SAMN18877317	Escherichia coli
NZ_CP073937.1	MB56	pYLMB56a	SAMN18877316	Escherichia coli
NZ_CP073938.1	MB56	pYLMB56b	SAMN18877316	Escherichia coli
NZ_CP073940.1	MB53	pYLMB53a	SAMN18877315	Escherichia coli
NZ_CP073941.1	MB53	pYLMB53b	SAMN18877315	Escherichia coli
NZ_CP073942.1	MB53	pYLMB53c	SAMN18877315	Escherichia coli
NZ_CP073944.1	MB52	pYLMB52a	SAMN18877314	Escherichia coli
NZ_CP073945.1	MB52	pYLMB52b	SAMN18877314	Escherichia coli
NZ_CP073947.1	MB51	pYLMB51a	SAMN18877313	Escherichia coli
NZ_CP073948.1	MB51	pYLMB51b	SAMN18877313	Escherichia coli
NZ_CP073950.1	MB50	pYLMB50a	SAMN18877312	Escherichia coli
NZ_CP073951.1	MB50	pYLMB50b	SAMN18877312	Escherichia coli
NZ_CP073952.1	MB50	pYLMB50c	SAMN18877312	Escherichia coli
NZ_CP073954.1	MB49	pYLMB49a	SAMN18877311	Escherichia coli
NZ_CP073955.1	MB49	pYLMB49b	SAMN18877311	Escherichia coli
NZ_CP073956.1	MB49	pYLMB49c	SAMN18877311	Escherichia coli
NZ_CP073957.1	MB49	pYLMB49d	SAMN18877311	Escherichia coli
NZ_CP073959.1	MB46	pYLMB46a	SAMN18877310	Escherichia coli
NZ_CP073960.1	MB46	pYLMB46b	SAMN18877310	Escherichia coli
NZ_CP073961.1	MB46	pYLMB46c	SAMN18877310	Escherichia coli
NZ_CP073963.1	MB31	pYLMB31a	SAMN18877309	Escherichia coli
NZ_CP073964.1	MB31	pYLMB31b	SAMN18877309	Escherichia coli
NZ_CP073965.1	MB31	pYLMB31c	SAMN18877309	Escherichia coli
NZ_CP073966.1	MB31	pYLMB31d	SAMN18877309	Escherichia coli
NZ_CP073967.1	MB31	pYLMB31e	SAMN18877309	Escherichia coli
NZ_CP073975.1	MB22	pYLMB22	SAMN18877307	Escherichia coli
NZ_CP073982.1	MB19	pYLMB19a	SAMN18877305	Escherichia coli
NZ_CP073983.1	MB19	pYLMB19b	SAMN18877305	Escherichia coli
NZ_CP073985.1	MB15	pYLMB15a	SAMN18877304	Escherichia coli
NZ_CP073986.1	MB15	pYLMB15b	SAMN18877304	Escherichia coli
NZ_CP073987.1	MB15	pYLMB15c	SAMN18877304	Escherichia coli
NZ_CP073989.1	MB10	pYLMB10a	SAMN18877303	Escherichia coli
NZ_CP073990.1	MB10	pYLMB10b	SAMN18877303	Escherichia coli
NZ_CP073991.1	MB10	pYLMB10c	SAMN18877303	Escherichia coli
NZ_CP073992.1	MB10	pYLMB10d	SAMN18877303	Escherichia coli
NZ_CP073993.1	MB10	pYLMB10e	SAMN18877303	Escherichia coli
NZ_CP073995.1	MB1	pYLMB1	SAMN18877302	Escherichia coli
NZ_CP073997.1	PM7	pYLPM7a	SAMN18877301	Escherichia coli
NZ_CP073998.1	PM7	pYLPM7b	SAMN18877301	Escherichia coli
NZ_CP073999.1	PM7	pYLPM7c	SAMN18877301	Escherichia coli
NZ_CP074000.1	PM7	pYLPM7d	SAMN18877301	Escherichia coli
NZ_CP074002.1	PM4	pYLPM4a	SAMN18877300	Escherichia coli
NZ_CP074003.1	PM4	pYLPM4b	SAMN18877300	Escherichia coli
NZ_CP074004.1	PM4	pYLPM4c	SAMN18877300	Escherichia coli
NZ_CP074006.1	PI12	pYLPI12	SAMN18877299	Escherichia coli
NZ_CP074008.1	PD4	pYLPD4a	SAMN18877298	Escherichia coli
NZ_CP074009.1	PD4	pYLPD4b	SAMN18877298	Escherichia coli
NZ_CP074010.1	PD4	pYLPD4c	SAMN18877298	Escherichia coli
NZ_CP074011.1	PD4	pYLPD4d	SAMN18877298	Escherichia coli
NZ_CP074013.1	PI24	pYLPI24a	SAMN18877297	Escherichia coli
NZ_CP074014.1	PI24	pYLPI24b	SAMN18877297	Escherichia coli
NZ_CP074015.1	PI24	pYLPI24c	SAMN18877297	Escherichia coli
NZ_CP074016.1	PI24	pYLPI24d	SAMN18877297	Escherichia coli
NZ_CP074017.1	PI24	pYLPI24e	SAMN18877297	Escherichia coli
NZ_CP074018.1	PI24	pYLPI24f	SAMN18877297	Escherichia coli
NZ_CP074020.1	PM22	pYLPM22a	SAMN18877296	Escherichia coli
NZ_CP074021.1	PM22	pYLPM22b	SAMN18877296	Escherichia coli
NZ_CP074022.1	PM22	pYLPM22c	SAMN18877296	Escherichia coli
NZ_CP074023.1	PM22	pYLPM22d	SAMN18877296	Escherichia coli
NZ_CP074025.1	PK5	pYLPK5a	SAMN18877295	Escherichia coli
NZ_CP074026.1	PK5	pYLPK5b	SAMN18877295	Escherichia coli
NZ_CP074027.1	PK5	pYLPK5c	SAMN18877295	Escherichia coli
NZ_CP074029.1	PK13	pYLPK13a	SAMN18877294	Escherichia coli
NZ_CP074030.1	PK13	pYLPK13b	SAMN18877294	Escherichia coli
NZ_CP074032.1	PK12	pYLPK12	SAMN18877293	Escherichia coli
NZ_CP074034.1	PI7	pYLPI7a	SAMN18877292	Escherichia coli
NZ_CP074035.1	PI7	pYLPI7b	SAMN18877292	Escherichia coli
NZ_CP074036.1	PI7	pYLPI7c	SAMN18877292	Escherichia coli
NZ_CP074037.1	PI7	pYLPI7d	SAMN18877292	Escherichia coli
NZ_CP074038.1	PI7	pYLPI7e	SAMN18877292	Escherichia coli
NZ_CP074039.1	PI7	pYLPI7f	SAMN18877292	Escherichia coli
NZ_CP074040.1	PI7	pYLPI7g	SAMN18877292	Escherichia coli
NZ_CP074041.1	PI7	pYLPI7h	SAMN18877292	Escherichia coli
NZ_CP074043.1	PI6	pYLPI6a	SAMN18877291	Escherichia coli
NZ_CP074044.1	PI6	pYLPI6b	SAMN18877291	Escherichia coli
NZ_CP074045.1	PI6	pYLPI6c	SAMN18877291	Escherichia coli
NZ_CP074046.1	PI6	pYLPI6d	SAMN18877291	Escherichia coli
NZ_CP074048.1	PD7	pYLPD7a	SAMN18877290	Escherichia coli
NZ_CP074049.1	PD7	pYLPD7b	SAMN18877290	Escherichia coli
NZ_CP074050.1	PD7	pYLPD7c	SAMN18877290	Escherichia coli
NZ_CP074051.1	PD7	pYLPD7d	SAMN18877290	Escherichia coli
NZ_CP074053.1	PD23	pYLPD23	SAMN18877289	Escherichia coli
NZ_CP075717.1	CPww7	pCPWW7-IncF	SAMN19296501	Escherichia coli
NZ_CP075718.1	CPww7	pCPWW7-IncFII	SAMN19296501	Escherichia coli
NZ_CP075719.1	CPww7	pCPWW7-IncI2	SAMN19296501	Escherichia coli
NZ_CP075720.1	CPww7	pCPWW7-IncY	SAMN19296501	Escherichia coli
NZ_CP075721.1	CPww7	pCPWW7.1	SAMN19296501	Escherichia coli
NZ_CP075723.1	CPE35	pCPE35-IncFIB	SAMN19296500	Escherichia coli
NZ_CP075724.1	CPE35	unnamed.1	SAMN19296500	Escherichia coli
NZ_CP075725.1	CPE35	pE35-IncFII	SAMN19296500	Escherichia coli
NZ_CP075726.1	CPE35	pE35-COLE10	SAMN19296500	Escherichia coli
NZ_CP075727.1	CPE35	pE35-IncQ	SAMN19296500	Escherichia coli
NZ_CP075728.1	CPE35	unnamed.2	SAMN19296500	Escherichia coli
NZ_CP075729.1	CPE35	unnamed.3	SAMN19296500	Escherichia coli
NZ_CP075730.1	CPE35	pE35-ColpVC	SAMN19296500	Escherichia coli
NZ_CP075732.1	CP52E	pCP52E-IncFIB	SAMN19296499	Escherichia coli
NZ_CP075733.1	CP52E	pCP52E-IncX4	SAMN19296499	Escherichia coli
NZ_CP075734.1	CP52E	pCP52E-IncQ1	SAMN19296499	Escherichia coli
NZ_CP075735.1	CP52E	unnamed	SAMN19296499	Escherichia coli
NZ_CP075736.1	CP52E	pCP52E-ColpVC	SAMN19296499	Escherichia coli
NZ_CP075738.1	CPF6	unnamed1	SAMN19296497	Escherichia coli
NZ_CP075739.1	CPF6	pCPF6-IncFIB	SAMN19296497	Escherichia coli
NZ_CP075740.1	CPF6	pCPF6-IncI1	SAMN19296497	Escherichia coli
NZ_CP075741.1	CPF6	pCPF6-IncFII	SAMN19296497	Escherichia coli
NZ_CP075742.1	CPF6	pCPF6-IncX1	SAMN19296497	Escherichia coli
NZ_CP075743.1	CPF6	pCPF6-unnamed2	SAMN19296497	Escherichia coli
NZ_CP075744.1	CPF6	pCPF6-unnamed3	SAMN19296497	Escherichia coli
NZ_CP075745.1	CPF6	pCPF6.4	SAMN19296497	Escherichia coli
NZ_CP075746.1	CPF6	unnamed4	SAMN19296497	Escherichia coli
NZ_CP075747.1	CPF6	unnamed5	SAMN19296497	Escherichia coli
NZ_CP076260.1	WY517-2	pWY517IncF	SAMN04917423	Escherichia coli
NZ_CP076261.1	WY517-2	pSA31IncI2	SAMN04917423	Escherichia coli
NZ_CP076263.1	0-4	p04IncF	SAMN04917421	Escherichia coli
NZ_CP076265.1	NADC1036	pNADC1036IncF	SAMN04917420	Escherichia coli
NZ_CP076266.1	NADC1036	pNADC1036IncYphage	SAMN04917420	Escherichia coli
NZ_CP076267.1	NADC1036	pNADC1036guaAphage	SAMN04917420	Escherichia coli
NZ_CP076269.1	D217-5	pD217IncF	SAMN04917419	Escherichia coli
NZ_CP076271.1	Ceylon31	pCeylon31IncF	SAMN04917417	Escherichia coli
NZ_CP076273.1	E21845/O/A	pE21845IncF	SAMN04917414	Escherichia coli
NZ_CP076275.1	P393-F10	pP393F10IncF	SAMN04917413	Escherichia coli
NZ_CP076277.1	SA31-1	pSA31IncF	SAMN04917424	Escherichia coli
NZ_CP076278.1	SA31-1	pSA31IncI1	SAMN04917424	Escherichia coli
NZ_CP076280.1	SA53-3	pSA53IncF	SAMN04917422	Escherichia coli
NZ_CP076281.1	SA53-3	pSA53IncI2	SAMN04917422	Escherichia coli
NZ_CP076283.1	442/2	p4422IncF	SAMN04917418	Escherichia coli
NZ_CP076284.1	442/2	p4422IncI2	SAMN04917418	Escherichia coli
NZ_CP076576.1	CPWW_CT	pCPWWCT-p0111	SAMN19587785	Escherichia coli
NZ_CP076577.1	CPWW_CT	pCPWWCT.1	SAMN19587785	Escherichia coli
NZ_CP076578.1	CPWW_CT	pCPWWCT.2	SAMN19587785	Escherichia coli
NZ_CP076579.1	CPWW_CT	pCPWWCT-IncI1	SAMN19587785	Escherichia coli
NZ_CP076580.1	CPWW_CT	pCPWWCT-IncQ	SAMN19587785	Escherichia coli
NZ_CP076581.1	CPWW_CT	pCPWWCT-unnamed1	SAMN19587785	Escherichia coli
NZ_CP076582.1	CPWW_CT	pCPWWCT-unnamed2	SAMN19587785	Escherichia coli
NZ_CP076583.1	CPWW_CT	pCPWWCT-unnamed3	SAMN19587785	Escherichia coli
NZ_CP090197.1	YL3	p1	SAMN24425732	Escherichia coli
NZ_CP097214.1	BE311	unnamed1	SAMN28105629	Escherichia coli
NZ_CP097215.1	BE311	unnamed2	SAMN28105629	Escherichia coli
NZ_CP097216.1	BE311	unnamed3	SAMN28105629	Escherichia coli
NZ_CP097217.1	BE311	unnamed4	SAMN28105629	Escherichia coli
NZ_CP101514.1	HH194M	pHH194M-140K	SAMN26630246	Escherichia coli
NZ_CP101515.1	HH194M	pHH194M-88K	SAMN26630246	Escherichia coli
NZ_CP101516.1	HH194M	pHH194M-228K	SAMN26630246	Escherichia coli
NZ_CP101706.1	035152	pOXA1041_035152	SAMN29911867	Escherichia coli
NZ_CP101859.1	LP50-1	pLP50-1-101kb	SAMN29932434	Escherichia coli
NZ_CP101860.1	LP50-1	pLP50-1-87kb	SAMN29932434	Escherichia coli
NZ_CP101861.1	LP50-1	pLP50-1-MCR1	SAMN29932434	Escherichia coli
NZ_CP101862.1	LP50-1	pLP50-1-8kb	SAMN29932434	Escherichia coli
NZ_CP101863.1	LP50-1	pLP50-1-4kb	SAMN29932434	Escherichia coli
NZ_CP101864.1	LP50-1	pLP50-1-3kb	SAMN29932434	Escherichia coli
NZ_CP101865.1	LP50-1	pLP50-1-1kb	SAMN29932434	Escherichia coli
NZ_CP101867.1	LP5-1	pLP5-1-106kb	SAMN29932457	Escherichia coli
NZ_CP101868.1	LP5-1	pLP5-1-NDM-47kb	SAMN29932457	Escherichia coli
NZ_CP101869.1	LP5-1	pLP5-1-37kb	SAMN29932457	Escherichia coli
NZ_CP101870.1	LP5-1	pLP5-1-9kb	SAMN29932457	Escherichia coli
NZ_CP101871.1	LP5-1	pLP5-1-3kb	SAMN29932457	Escherichia coli
NZ_CP101872.1	LP5-1	pLP5-1-1kb	SAMN29932457	Escherichia coli
NZ_CP101916.1	Evo1	pEcFELIX705.1	SAMN29939563	Escherichia coli
NZ_CP101917.1	Evo1	pEcFELIX705.2	SAMN29939563	Escherichia coli
NZ_CP101918.1	Evo1	pEcFELIX705.3	SAMN29939563	Escherichia coli
NZ_CP101919.1	Evo1	pEcFELIX705.4	SAMN29939563	Escherichia coli
NZ_CP101923.1	JCC-EE	pEcFELIX526.1	SAMN29939562	Escherichia coli
NZ_CP101924.1	JCC-EE	pEcFELIX526.2	SAMN29939562	Escherichia coli
NZ_CP101926.1	Seattle	pEcFELIX377.1	SAMN29939549	Escherichia coli
NZ_CP101927.1	Seattle	pEcFELIX377.2	SAMN29939549	Escherichia coli
NZ_CP101928.1	Seattle	pEcFELIX377.3	SAMN29939549	Escherichia coli
NZ_CP101929.1	Seattle	pEcFELIX377.4	SAMN29939549	Escherichia coli
NZ_CP102062.1	C31	pMDR31	SAMN30011701	Escherichia coli
NZ_CP102063.1	C31	pNDM1	SAMN30011701	Escherichia coli
NZ_CP102064.1	C31	pC31	SAMN30011701	Escherichia coli
NZ_CP102245.1	ST70	p170Kb	SAMN30077658	Escherichia coli
NZ_CP102489.1	ST69	p113Kb	SAMN30184957	Escherichia coli
NZ_CP102672.1	XH987	pXH987-MCR	SAMN30247543	Escherichia coli
NZ_CP102673.1	XH987	pXH987-CTX	SAMN30247543	Escherichia coli
NZ_CP102674.1	XH987	pXH987-OQX	SAMN30247543	Escherichia coli
NZ_CP102676.1	XH989	pXH989-CTX	SAMN30247557	Escherichia coli
NZ_CP102677.1	XH989	pXH989-OQX	SAMN30247557	Escherichia coli
NZ_CP102678.1	XH989	pXH989-MCR	SAMN30247557	Escherichia coli
NZ_CP102854.1	573	p573-1	SAMN30343417	Escherichia coli
NZ_CP102855.1	573	p573-2	SAMN30343417	Escherichia coli
NZ_CP102856.1	573	p573-3	SAMN30343417	Escherichia coli
NZ_CP102857.1	573	p573-4	SAMN30343417	Escherichia coli
NZ_CP102858.1	573	p573-5	SAMN30343417	Escherichia coli
NZ_CP102948.1	SCAID	unnamed1	SAMN30333619	Escherichia coli
NZ_CP102949.1	SCAID	unnamed2	SAMN30333619	Escherichia coli
NZ_CP103296.1	2e	unnamed1	SAMN30399898	Escherichia coli
NZ_CP103297.1	2e	unnamed2	SAMN30399898	Escherichia coli
NZ_CP103466.1	5392	pMB9877_1	SAMN28174092	Escherichia coli
NZ_CP103467.1	5392	pMB9877_2	SAMN28174092	Escherichia coli
NZ_CP103469.1	4973	pMB9698_1	SAMN28174076	Escherichia coli
NZ_CP103470.1	4973	pMB9698_2	SAMN28174076	Escherichia coli
NZ_CP103471.1	4973	pMB9698_3	SAMN28174076	Escherichia coli
NZ_CP103472.1	4973	pMB9698_4	SAMN28174076	Escherichia coli
NZ_CP103473.1	4973	pMB9698_5	SAMN28174076	Escherichia coli
NZ_CP103474.1	4973	pMB9698_6	SAMN28174076	Escherichia coli
NZ_CP103475.1	4973	pMB9698_7	SAMN28174076	Escherichia coli
NZ_CP103476.1	4973	pMB9698_8	SAMN28174076	Escherichia coli
NZ_CP103477.1	4973	pMB9698_9	SAMN28174076	Escherichia coli
NZ_CP103478.1	4973	pMB9698_10	SAMN28174076	Escherichia coli
NZ_CP103480.1	4621	pMB9635_1	SAMN28174065	Escherichia coli
NZ_CP103481.1	4621	pMB9635_2	SAMN28174065	Escherichia coli
NZ_CP103482.1	4621	pMB9635_3	SAMN28174065	Escherichia coli
NZ_CP103483.1	4621	pMB9635_4	SAMN28174065	Escherichia coli
NZ_CP103484.1	4621	pMB9635_5	SAMN28174065	Escherichia coli
NZ_CP103485.1	4621	pMB9635_6	SAMN28174065	Escherichia coli
NZ_CP103486.1	4621	pMB9635_7	SAMN28174065	Escherichia coli
NZ_CP103509.1	5506	pMB9366_1	SAMN28174099	Escherichia coli
NZ_CP103510.1	5506	pMB9366_2	SAMN28174099	Escherichia coli
NZ_CP103511.1	5506	pMB9366_3	SAMN28174099	Escherichia coli
NZ_CP103516.1	5444	pMB9292_1	SAMN28174095	Escherichia coli
NZ_CP103517.1	5444	pMB9292_2	SAMN28174095	Escherichia coli
NZ_CP103518.1	5444	pMB9292_3	SAMN28174095	Escherichia coli
NZ_CP103519.1	5444	pMB9292_4	SAMN28174095	Escherichia coli
NZ_CP103520.1	5444	pMB9292_5	SAMN28174095	Escherichia coli
NZ_CP103522.1	2779	pMB9272_1	SAMN28174006	Escherichia coli
NZ_CP103523.1	2779	pMB9272_2	SAMN28174006	Escherichia coli
NZ_CP103524.1	2779	pMB9272_3	SAMN28174006	Escherichia coli
NZ_CP103525.1	2779	pMB9272_4	SAMN28174006	Escherichia coli
NZ_CP103526.1	2779	pMB9272_5	SAMN28174006	Escherichia coli
NZ_CP103527.1	2779	pMB9272_6	SAMN28174006	Escherichia coli
NZ_CP103528.1	2779	pMB9272_7	SAMN28174006	Escherichia coli
NZ_CP103530.1	5270	pMB9245_1	SAMN28174089	Escherichia coli
NZ_CP103531.1	5270	pMB9245_2	SAMN28174089	Escherichia coli
NZ_CP103532.1	5270	pMB9245_3	SAMN28174089	Escherichia coli
NZ_CP103534.1	4238	pMB9108_1	SAMN28174054	Escherichia coli
NZ_CP103535.1	4238	pMB9108_2	SAMN28174054	Escherichia coli
NZ_CP103536.1	4238	pMB9108_3	SAMN28174054	Escherichia coli
NZ_CP103537.1	4238	pMB9108_4	SAMN28174054	Escherichia coli
NZ_CP103538.1	4238	pMB9108_5	SAMN28174054	Escherichia coli
NZ_CP103539.1	4238	pMB9108_6	SAMN28174054	Escherichia coli
NZ_CP103541.1	5264	pMB9081_1	SAMN28174088	Escherichia coli
NZ_CP103542.1	5264	pMB9081_2	SAMN28174088	Escherichia coli
NZ_CP103543.1	5264	pMB9081_3	SAMN28174088	Escherichia coli
NZ_CP103545.1	3036	pMB9029_1	SAMN28174012	Escherichia coli
NZ_CP103546.1	3036	pMB9029_2	SAMN28174012	Escherichia coli
NZ_CP103547.1	3036	pMB9029_3	SAMN28174012	Escherichia coli
NZ_CP103558.1	4993	pMB8413_1	SAMN28174077	Escherichia coli
NZ_CP103563.1	751	pMB8236_1	SAMN28173988	Escherichia coli
NZ_CP103564.1	751	pMB8236_2	SAMN28173988	Escherichia coli
NZ_CP103565.1	751	pMB8236_3	SAMN28173988	Escherichia coli
NZ_CP103566.1	751	pMB8236_4	SAMN28173988	Escherichia coli
NZ_CP103571.1	3045	pMB8093_1	SAMN28174015	Escherichia coli
NZ_CP103572.1	3045	pMB8093_2	SAMN28174015	Escherichia coli
NZ_CP103573.1	3045	pMB8093_3	SAMN28174015	Escherichia coli
NZ_CP103574.1	3045	pMB8093_4	SAMN28174015	Escherichia coli
NZ_CP103575.1	3045	pMB8093_5	SAMN28174015	Escherichia coli
NZ_CP103576.1	3045	pMB8093_6	SAMN28174015	Escherichia coli
NZ_CP103590.1	4750	pMB7603_1	SAMN28174072	Escherichia coli
NZ_CP103591.1	4750	pMB7603_2	SAMN28174072	Escherichia coli
NZ_CP103593.1	4224	pMB7542_1	SAMN28174053	Escherichia coli
NZ_CP103594.1	4224	pMB7542_2	SAMN28174053	Escherichia coli
NZ_CP103595.1	4224	pMB7542_3	SAMN28174053	Escherichia coli
NZ_CP103597.1	4848	pMB7536_1	SAMN28174075	Escherichia coli
NZ_CP103598.1	4848	pMB7536_2	SAMN28174075	Escherichia coli
NZ_CP103599.1	4848	pMB7536_3	SAMN28174075	Escherichia coli
NZ_CP103600.1	4848	pMB7536_4	SAMN28174075	Escherichia coli
NZ_CP103601.1	4848	pMB7536_5	SAMN28174075	Escherichia coli
NZ_CP103602.1	4848	pMB7536_6	SAMN28174075	Escherichia coli
NZ_CP103603.1	4848	pMB7536_7	SAMN28174075	Escherichia coli
NZ_CP103604.1	4848	pMB7536_8	SAMN28174075	Escherichia coli
NZ_CP103610.1	4314	pMB7206_1	SAMN28174056	Escherichia coli
NZ_CP103624.1	3985	pMB6420_1	SAMN28174042	Escherichia coli
NZ_CP103625.1	3985	pMB6420_2	SAMN28174042	Escherichia coli
NZ_CP103627.1	4012	pMB6206_1	SAMN28174046	Escherichia coli
NZ_CP103628.1	4012	pMB6206_2	SAMN28174046	Escherichia coli
NZ_CP103629.1	4012	pMB6206_3	SAMN28174046	Escherichia coli
NZ_CP103630.1	4012	pMB6206_4	SAMN28174046	Escherichia coli
NZ_CP103631.1	4012	pMB6206_5	SAMN28174046	Escherichia coli
NZ_CP103632.1	4012	pMB6206_6	SAMN28174046	Escherichia coli
NZ_CP103634.1	2900	pMB6066_1	SAMN28174010	Escherichia coli
NZ_CP103646.1	961	pMB5823_1	SAMN28173990	Escherichia coli
NZ_CP103647.1	961	pMB5823_2	SAMN28173990	Escherichia coli
NZ_CP103648.1	961	pMB5823_3	SAMN28173990	Escherichia coli
NZ_CP103649.1	961	pMB5823_4	SAMN28173990	Escherichia coli
NZ_CP103650.1	961	pMB5823_5	SAMN28173990	Escherichia coli
NZ_CP103651.1	961	pMB5823_6	SAMN28173990	Escherichia coli
NZ_CP103652.1	961	pMB5823_7	SAMN28173990	Escherichia coli
NZ_CP103653.1	961	pMB5823_8	SAMN28173990	Escherichia coli
NZ_CP103658.1	3150	pMB5646_1	SAMN28174021	Escherichia coli
NZ_CP103659.1	3150	pMB5646_2	SAMN28174021	Escherichia coli
NZ_CP103660.1	3150	pMB5646_3	SAMN28174021	Escherichia coli
NZ_CP103661.1	3150	pMB5646_4	SAMN28174021	Escherichia coli
NZ_CP103662.1	3150	pMB5646_5	SAMN28174021	Escherichia coli
NZ_CP103663.1	3150	pMB5646_6	SAMN28174021	Escherichia coli
NZ_CP103695.1	ST12468	pMB3825A_1	SAMN28174027	Escherichia coli
NZ_CP103696.1	ST12468	pMB3825A_2	SAMN28174027	Escherichia coli
NZ_CP103705.1	ST361	pMB3362_1	SAMN28174001	Escherichia coli
NZ_CP103706.1	ST361	pMB3362_2	SAMN28174001	Escherichia coli
NZ_CP103707.1	ST361	pMb3362_3	SAMN28174001	Escherichia coli
NZ_CP103708.1	ST361	pMB3362_4	SAMN28174001	Escherichia coli
NZ_CP103709.1	ST361	pMB3362_5	SAMN28174001	Escherichia coli
NZ_CP103711.1		pMB3266_1	SAMN28174028	Escherichia coli
NZ_CP103712.1		pMB3266_2	SAMN28174028	Escherichia coli
NZ_CP103713.1		pMB3266_3	SAMN28174028	Escherichia coli
NZ_CP103719.1	1579	pMB3176_1	SAMN28173996	Escherichia coli
NZ_CP103720.1	1579	pMB3176_2	SAMN28173996	Escherichia coli
NZ_CP103721.1	1579	pMB3176_3	SAMN28173996	Escherichia coli
NZ_CP103740.1	3359	pMB2910_1	SAMN28174032	Escherichia coli
NZ_CP103741.1	3359	pMB2910_2	SAMN28174032	Escherichia coli
NZ_CP103743.1	2822	pMB2855_1	SAMN28174008	Escherichia coli
NZ_CP103744.1	2822	pMB2855_2	SAMN28174008	Escherichia coli
NZ_CP103746.1	3090	pMB2791_1	SAMN28174017	Escherichia coli
NZ_CP103747.1	3090	pMB2791_2	SAMN28174017	Escherichia coli
NZ_CP103748.1	3090	pMB2791_3	SAMN28174017	Escherichia coli
NZ_CP103749.1	3090	pMB2791_4	SAMN28174017	Escherichia coli
NZ_CP103750.1	3090	pMB2791_5	SAMN28174017	Escherichia coli
NZ_CP103756.1	p11B	unnamed1	SAMN13948685	Escherichia coli
NZ_CP103757.1	p11B	unnamed2	SAMN13948685	Escherichia coli
NZ_CP103759.1	p10B	unnamed1	SAMN13948682	Escherichia coli
NZ_CP103760.1	p10B	unnamed2	SAMN13948682	Escherichia coli
NZ_CP103761.1	p10B	unnamed3	SAMN13948682	Escherichia coli
NZ_CP103763.1	5283	pMB9880_1	SAMN28174091	Escherichia coli
NZ_CP103764.1	5283	pMB9880_2	SAMN28174091	Escherichia coli
NZ_CP103765.1	5283	pMB9880_3	SAMN28174091	Escherichia coli
NZ_CP103766.1	5283	pMB9880_4	SAMN28174091	Escherichia coli
NZ_CP103767.1	5283	pMB9880_5	SAMN28174091	Escherichia coli
NZ_CP046248.1	RF_1_1_25_1	pRFP1	SAMN13336268	Enterococcus faecalis
NZ_CP046249.1	RF_1_1_25_1	pRFP2	SAMN13336268	Enterococcus faecalis
